chrom	chromStart	chromEnd	name	score	strand	thickStart	thickEnd
chr1	1447492	1447552	ATAD3A_1	900	+	1447541	1447552
chr1	1509973	1510033	SSU72_2	900	-	1509973	1509984
chr1	1510232	1510292	SSU72_1	900	-	1510232	1510243
chr1	1550846	1550906	MIB2_1	900	+	1550895	1550906
chr1	1567517	1567577	MMP23B_1	900	+	1567566	1567577
chr1	1588842	1588902	CDK11B_5	900	-	1588842	1588853
chr1	1590422	1590482	CDK11B_1	900	-	1590422	1590433
chr1	1590659	1590719	CDK11B_3	900	-	1590659	1590670
chr1	1623935	1623995	SLC35E2B_2	900	-	1623935	1623946
chr1	1624137	1624197	SLC35E2B_4	900	-	1624137	1624148
chr1	1624250	1624310	SLC35E2B_1	900	-	1624250	1624261
chr1	1640318	1640378	CDK11B_4	900	-	1640318	1640329
chr1	1650880	1650940	CDK11B_2	900	-	1650880	1650891
chr1	1653096	1653156	CDK11A_2	900	-	1653096	1653107
chr1	1655762	1655822	CDK11A_1	900	-	1655762	1655773
chr1	1659145	1659205	SLC35E2B_3	900	-	1659145	1659156
chr1	1677210	1677270	SLC35E2_2	900	-	1677210	1677221
chr1	1677430	1677490	SLC35E2_1	900	-	1677430	1677441
chr1	1677705	1677765	SLC35E2_3	900	-	1677705	1677716
chr1	1709877	1709937	NADK_2	900	-	1709877	1709888
chr1	1710243	1710303	NADK_3	900	-	1710243	1710254
chr1	1711459	1711519	NADK_1	900	-	1711459	1711470
chr1	1711942	1712002	NADK_4	900	-	1711942	1711953
chr1	1822282	1822342	GNB1_2	900	-	1822282	1822293
chr1	1822498	1822558	GNB1_1	900	-	1822498	1822509
chr1	1850228	1850288	TMEM52_2	900	-	1850228	1850239
chr1	1850707	1850767	TMEM52_1	900	-	1850707	1850718
chr1	1935214	1935274	CFAP74_1	900	-	1935214	1935225
chr1	1950749	1950809	GABRD_1	900	+	1950798	1950809
chr1	1979944	1980004	PRKCZ_5	900	+	1979993	1980004
chr1	1981800	1981860	PRKCZ_1	900	+	1981849	1981860
chr1	2004937	2004997	PRKCZ_3	900	+	2004986	2004997
chr1	2005053	2005113	PRKCZ_2	900	+	2005102	2005113
chr1	2076776	2076836	PRKCZ_4	900	+	2076825	2076836
chr1	2126200	2126260	FAAP20_1	900	-	2126200	2126211
chr1	2160078	2160138	SKI_1	900	+	2160127	2160138
chr1	2322982	2323042	MORN1_1	900	-	2322982	2322993
chr1	2323231	2323291	RER1_1	900	+	2323280	2323291
chr1	2343971	2344031	PEX10_1	900	-	2343971	2343982
chr1	2345239	2345299	PEX10_2	900	-	2345239	2345250
chr1	2347338	2347398	PLCH2_1	900	+	2347387	2347398
chr1	2407710	2407770	PLCH2_2	900	+	2407759	2407770
chr1	2458024	2458084	PANK4_1	900	-	2458024	2458035
chr1	2461691	2461751	HES5_1	900	-	2461691	2461702
chr1	2485683	2485743	TNFRSF14_3	900	+	2485732	2485743
chr1	2487760	2487820	TNFRSF14_1	900	+	2487809	2487820
chr1	2487952	2488012	TNFRSF14_2	900	+	2488001	2488012
chr1	2517912	2517972	FAM213B_2	900	+	2517961	2517972
chr1	2518187	2518247	FAM213B_1	900	+	2518236	2518247
chr1	2560835	2560895	MMEL1_2	900	-	2560835	2560846
chr1	2564418	2564478	MMEL1_1	900	-	2564418	2564429
chr1	2985224	2985284	PRDM16_2	900	+	2985273	2985284
chr1	2985717	2985777	PRDM16_1	900	+	2985766	2985777
chr1	3032805	3032865	SMIM1_2	900	+	3032854	3032865
chr1	3388138	3388198	ARHGEF16_1	900	+	3388187	3388198
chr1	3447964	3448024	MEGF6_1	900	-	3447964	3447975
chr1	3528049	3528109	MEGF6_2	900	-	3528049	3528060
chr1	3536132	3536192	TPRG1L_2	900	+	3536181	3536192
chr1	3541332	3541392	MEGF6_3	900	-	3541332	3541343
chr1	3541548	3541608	TPRG1L_1	900	+	3541597	3541608
chr1	3566656	3566716	WRAP73_1	900	-	3566656	3566667
chr1	3569030	3569090	TP73_1	900	+	3569079	3569090
chr1	3607186	3607246	TP73_3	900	+	3607235	3607246
chr1	3614560	3614620	TP73_2	900	+	3614609	3614620
chr1	3668964	3669024	CCDC27_1	900	+	3669013	3669024
chr1	3689169	3689229	SMIM1_1	900	+	3689218	3689229
chr1	3713047	3713107	LRRC47_1	900	-	3713047	3713058
chr1	3773764	3773824	CEP104_1	900	-	3773764	3773775
chr1	3773800	3773860	DFFB_2	900	+	3773849	3773860
chr1	3773990	3774050	DFFB_1	900	+	3774039	3774050
chr1	3816811	3816871	C1orf174_1	900	-	3816811	3816822
chr1	4715222	4715282	AJAP1_1	900	+	4715271	4715282
chr1	6052434	6052494	KCNAB2_2	900	+	6052483	6052494
chr1	6052474	6052534	NPHP4_1	900	-	6052474	6052485
chr1	6085997	6086057	KCNAB2_3	900	+	6086046	6086057
chr1	6086343	6086403	KCNAB2_1	900	+	6086392	6086403
chr1	6240173	6240233	CHD5_1	900	-	6240173	6240184
chr1	6259643	6259703	RPL22_1	900	-	6259643	6259654
chr1	6266129	6266189	RNF207_1	900	+	6266178	6266189
chr1	6296013	6296073	ICMT_1	900	-	6296013	6296024
chr1	6319488	6319548	GPR153_2	900	-	6319488	6319499
chr1	6321113	6321173	GPR153_1	900	-	6321113	6321124
chr1	6418978	6419038	ACOT7_4	900	-	6418978	6418989
chr1	6420750	6420810	ACOT7_5	900	-	6420750	6420761
chr1	6445846	6445906	ACOT7_3	900	-	6445846	6445857
chr1	6453426	6453486	ACOT7_1	900	-	6453426	6453437
chr1	6453816	6453876	ACOT7_2	900	-	6453816	6453827
chr1	6479968	6480028	HES2_1	900	-	6479968	6479979
chr1	6484730	6484790	HES2_2	900	-	6484730	6484741
chr1	6484786	6484846	ESPN_1	900	+	6484835	6484846
chr1	6508098	6508158	ESPN_2	900	+	6508147	6508158
chr1	6508501	6508561	ESPN_3	900	+	6508550	6508561
chr1	6526201	6526261	TNFRSF25_1	900	-	6526201	6526212
chr1	6529172	6529232	TNFRSF25_2	900	-	6529172	6529183
chr1	6545516	6545576	PLEKHG5_3	900	-	6545516	6545527
chr1	6550629	6550689	PLEKHG5_2	900	-	6550629	6550640
chr1	6557473	6557533	PLEKHG5_1	900	-	6557473	6557484
chr1	6580111	6580171	PLEKHG5_4	900	-	6580111	6580122
chr1	6614562	6614622	NOL9_1	900	-	6614562	6614573
chr1	6640006	6640066	ZBTB48_1	900	+	6640055	6640066
chr1	6659887	6659947	KLHL21_3	900	-	6659887	6659898
chr1	6662918	6662978	KLHL21_1	900	-	6662918	6662929
chr1	6663740	6663800	KLHL21_2	900	-	6663740	6663751
chr1	6673765	6673825	PHF13_1	900	+	6673814	6673825
chr1	6684880	6684940	THAP3_2	900	+	6684929	6684940
chr1	6685193	6685253	THAP3_1	900	+	6685242	6685253
chr1	6740993	6741053	DNAJC11_2	900	-	6740993	6741004
chr1	6761871	6761931	DNAJC11_1	900	-	6761871	6761882
chr1	6845464	6845524	CAMTA1_1	900	+	6845513	6845524
chr1	7831306	7831366	VAMP3_1	900	+	7831355	7831366
chr1	7844301	7844361	PER3_1	900	+	7844350	7844361
chr1	7844437	7844497	PER3_3	900	+	7844486	7844497
chr1	7844657	7844717	PER3_2	900	+	7844706	7844717
chr1	7913114	7913174	UTS2_2	900	-	7913114	7913125
chr1	7973298	7973358	UTS2_1	900	-	7973298	7973309
chr1	8000886	8000946	TNFRSF9_1	900	-	8000886	8000897
chr1	8014208	8014268	PARK7_2	900	+	8014257	8014268
chr1	8021721	8021781	PARK7_1	900	+	8021770	8021781
chr1	8086358	8086418	ERRFI1_1	900	-	8086358	8086369
chr1	8483758	8483818	RERE_2	900	-	8483758	8483769
chr1	8877688	8877748	RERE_1	900	-	8877688	8877699
chr1	8878051	8878111	RERE_3	900	-	8878051	8878062
chr1	8938734	8938794	ENO1_1	900	-	8938734	8938745
chr1	9005877	9005937	CA6_1	900	+	9005926	9005937
chr1	9129683	9129743	SLC2A5_1	900	-	9129683	9129694
chr1	9189150	9189210	GPR157_1	900	-	9189150	9189161
chr1	9242151	9242211	GPR157_3	900	-	9242151	9242162
chr1	9242345	9242405	GPR157_2	900	-	9242345	9242356
chr1	9294783	9294843	H6PD_1	900	+	9294832	9294843
chr1	9299856	9299916	H6PD_2	900	+	9299905	9299916
chr1	9352903	9352963	SPSB1_1	900	+	9352952	9352963
chr1	9407977	9408037	SPSB1_2	900	+	9408026	9408037
chr1	9599498	9599558	SLC25A33_1	900	+	9599547	9599558
chr1	9648919	9648979	TMEM201_1	900	+	9648968	9648979
chr1	9690028	9690088	PIK3CD_2	900	+	9690077	9690088
chr1	9711739	9711799	PIK3CD_1	900	+	9711788	9711799
chr1	9724103	9724163	PIK3CD_3	900	+	9724152	9724163
chr1	9884007	9884067	CLSTN1_1	900	-	9884007	9884018
chr1	9937994	9938054	CLSTN1_2	900	-	9937994	9938005
chr1	9970302	9970362	CTNNBIP1_1	900	-	9970302	9970313
chr1	10002846	10002906	LZIC_2	900	-	10002846	10002857
chr1	10003374	10003434	LZIC_1	900	-	10003374	10003385
chr1	10003483	10003543	NMNAT1_1	900	+	10003532	10003543
chr1	10057236	10057296	RBP7_1	900	+	10057285	10057296
chr1	10092966	10093026	UBE4B_1	900	+	10093015	10093026
chr1	10292247	10292307	KIF1B_2	900	+	10292296	10292307
chr1	10292370	10292430	KIF1B_1	900	+	10292419	10292430
chr1	10459071	10459131	PGD_1	900	+	10459120	10459131
chr1	10490450	10490510	CENPS_2	900	+	10490499	10490510
chr1	10490759	10490819	CENPS_1	900	+	10490808	10490819
chr1	10493852	10493912	CORT_2	900	+	10493901	10493912
chr1	10510164	10510224	CORT_1	900	+	10510213	10510224
chr1	10532572	10532632	DFFA_1	900	-	10532572	10532583
chr1	10533021	10533081	DFFA_2	900	-	10533021	10533032
chr1	10534961	10535021	PEX14_1	900	+	10535010	10535021
chr1	10754592	10754652	CASZ1_2	900	-	10754592	10754603
chr1	10856665	10856725	CASZ1_1	900	-	10856665	10856676
chr1	11072334	11072394	TARDBP_3	900	+	11072383	11072394
chr1	11072666	11072726	TARDBP_1	900	+	11072715	11072726
chr1	11073808	11073868	TARDBP_5	900	+	11073857	11073868
chr1	11082671	11082731	TARDBP_2	900	+	11082720	11082731
chr1	11083341	11083401	TARDBP_4	900	+	11083390	11083401
chr1	11107285	11107345	MASP2_1	900	-	11107285	11107296
chr1	11120064	11120124	SRM_1	900	-	11120064	11120075
chr1	11159897	11159957	EXOSC10_1	900	-	11159897	11159908
chr1	11249362	11249422	ANGPTL7_1	900	+	11249411	11249422
chr1	11322586	11322646	MTOR_1	900	-	11322586	11322597
chr1	11333233	11333293	UBIAD1_1	900	+	11333282	11333293
chr1	11333517	11333577	UBIAD1_2	900	+	11333566	11333577
chr1	11539162	11539222	DISP3_1	900	+	11539211	11539222
chr1	11539323	11539383	DISP3_2	900	+	11539372	11539383
chr1	11548232	11548292	DISP3_3	900	+	11548281	11548292
chr1	11714475	11714535	FBXO2_1	900	-	11714475	11714486
chr1	11714532	11714592	FBXO6_3	900	+	11714581	11714592
chr1	11714700	11714760	FBXO2_2	900	-	11714700	11714711
chr1	11714884	11714944	FBXO44_1	900	+	11714933	11714944
chr1	11714895	11714955	FBXO6_2	900	+	11714944	11714955
chr1	11714917	11714977	FBXO44_2	900	+	11714966	11714977
chr1	11724100	11724160	FBXO6_4	900	+	11724149	11724160
chr1	11724208	11724268	FBXO6_1	900	+	11724257	11724268
chr1	11741014	11741074	MAD2L2_3	900	-	11741014	11741025
chr1	11741194	11741254	MAD2L2_1	900	-	11741194	11741205
chr1	11751717	11751777	DRAXIN_1	900	+	11751766	11751777
chr1	11751872	11751932	MAD2L2_2	900	-	11751872	11751883
chr1	11796143	11796203	AGTRAP_1	900	+	11796192	11796203
chr1	11847794	11847854	C1orf167_1	900	+	11847843	11847854
chr1	11863583	11863643	MTHFR_1	900	-	11863583	11863594
chr1	11865525	11865585	MTHFR_3	900	-	11865525	11865536
chr1	11866010	11866070	MTHFR_2	900	-	11866010	11866021
chr1	11866248	11866308	CLCN6_1	900	+	11866297	11866308
chr1	11907828	11907888	NPPA_1	900	-	11907828	11907839
chr1	11908412	11908472	NPPA_2	900	-	11908412	11908423
chr1	11918991	11919051	NPPB_1	900	-	11918991	11919002
chr1	11986473	11986533	KIAA2013_1	900	-	11986473	11986484
chr1	11994738	11994798	PLOD1_1	900	+	11994787	11994798
chr1	12040244	12040304	MFN2_2	900	+	12040293	12040304
chr1	12040453	12040513	MFN2_1	900	+	12040502	12040513
chr1	12079508	12079568	MIIP_1	900	+	12079557	12079568
chr1	12123310	12123370	TNFRSF8_1	900	+	12123359	12123370
chr1	12123605	12123665	TNFRSF8_3	900	+	12123654	12123665
chr1	12185962	12186022	TNFRSF8_2	900	+	12186011	12186022
chr1	12226998	12227058	TNFRSF1B_1	900	+	12227047	12227058
chr1	12290039	12290099	VPS13D_1	900	+	12290088	12290099
chr1	12677506	12677567	DHRS3_3	900	-	12677506	12677517
chr1	12677782	12677841	DHRS3_1	900	-	12677782	12677793
chr1	12677997	12678057	DHRS3_4	900	-	12677997	12678008
chr1	12678204	12678264	DHRS3_2	900	-	12678204	12678215
chr1	12678885	12678945	DHRS3_7	900	-	12678885	12678896
chr1	12679103	12679163	DHRS3_5	900	-	12679103	12679114
chr1	12679971	12680031	DHRS3_6	900	-	12679971	12679982
chr1	12806098	12806158	C1orf158_1	900	+	12806147	12806158
chr1	12851496	12851556	PRAMEF1_1	900	+	12851545	12851556
chr1	12908298	12908358	HNRNPCL1_1	900	-	12908298	12908309
chr1	13184026	13184086	HNRNPCL2_1	900	-	13184026	13184037
chr1	13840160	13840220	LRRC38_2	900	-	13840160	13840171
chr1	13840487	13840547	LRRC38_1	900	-	13840487	13840498
chr1	13910277	13910337	PDPN_1	900	+	13910326	13910337
chr1	13910714	13910774	PDPN_2	900	+	13910763	13910774
chr1	14075882	14075942	PRDM2_1	900	+	14075931	14075942
chr1	14155543	14155603	KAZN_4	900	+	14155592	14155603
chr1	14925137	14925197	KAZN_2	900	+	14925186	14925197
chr1	14925276	14925336	KAZN_3	900	+	14925325	14925336
chr1	15250608	15250668	KAZN_1	900	+	15250657	15250668
chr1	15256186	15256246	KAZN_5	900	+	15256235	15256246
chr1	15479012	15479072	TMEM51_2	900	+	15479061	15479072
chr1	15480209	15480269	TMEM51_1	900	+	15480258	15480269
chr1	15736371	15736431	EFHD2_1	900	+	15736420	15736431
chr1	15764889	15764949	CTRC_1	900	+	15764938	15764949
chr1	15783177	15783237	CELA2A_1	900	+	15783226	15783237
chr1	15802549	15802609	CELA2B_1	900	+	15802598	15802609
chr1	15850699	15850759	CASP9_1	900	-	15850699	15850710
chr1	15850865	15850925	CASP9_2	900	-	15850865	15850876
chr1	15852992	15853052	CASP9_3	900	-	15852992	15853003
chr1	15853293	15853353	DNAJC16_1	900	+	15853342	15853353
chr1	15911507	15911567	AGMAT_1	900	-	15911507	15911518
chr1	15915001	15915061	AGMAT_2	900	-	15915001	15915012
chr1	15943903	15943963	DDI2_1	900	+	15943952	15943963
chr1	15944007	15944067	DDI2_2	900	+	15944056	15944067
chr1	16007951	16008011	PLEKHM2_2	900	+	16008000	16008011
chr1	16010765	16010825	PLEKHM2_1	900	+	16010814	16010825
chr1	16062703	16062763	SLC25A34_1	900	+	16062752	16062763
chr1	16068946	16069006	TMEM82_1	900	+	16068995	16069006
chr1	16083083	16083143	FBLIM1_2	900	+	16083132	16083143
chr1	16085240	16085300	FBLIM1_1	900	+	16085289	16085300
chr1	16163876	16163936	SPEN_2	900	+	16163925	16163936
chr1	16174304	16174364	SPEN_1	900	+	16174353	16174364
chr1	16302563	16302623	ZBTB17_1	900	-	16302563	16302574
chr1	16330682	16330742	C1orf64_1	900	+	16330731	16330742
chr1	16344527	16344587	HSPB7_1	900	-	16344527	16344538
chr1	16347021	16347081	HSPB7_2	900	-	16347021	16347032
chr1	16348481	16348541	CLCNKA_1	900	+	16348530	16348541
chr1	16370248	16370308	CLCNKB_1	900	+	16370297	16370308
chr1	16370571	16370631	CLCNKB_2	900	+	16370620	16370631
chr1	16400135	16400195	FAM131C_1	900	-	16400135	16400146
chr1	16482553	16482613	EPHA2_1	900	-	16482553	16482564
chr1	16533470	16533530	ARHGEF19_1	900	-	16533470	16533481
chr1	16539136	16539196	ARHGEF19_2	900	-	16539136	16539147
chr1	16563638	16563698	RSG1_1	900	-	16563638	16563649
chr1	16678938	16678998	FBXO42_1	900	-	16678938	16678949
chr1	16693689	16693749	SZRD1_1	900	+	16693738	16693749
chr1	16767187	16767247	NECAP2_1	900	+	16767236	16767247
chr1	16940034	16940094	NBPF1_1	900	-	16940034	16940045
chr1	17307104	17307164	MFAP2_1	900	-	17307104	17307115
chr1	17307599	17307659	MFAP2_3	900	-	17307599	17307610
chr1	17308067	17308127	MFAP2_2	900	-	17308067	17308078
chr1	17338412	17338472	ATP13A2_1	900	-	17338412	17338423
chr1	17380516	17380576	SDHB_1	900	-	17380516	17380527
chr1	17380624	17380684	SDHB_2	900	-	17380624	17380635
chr1	17445935	17445995	PADI2_1	900	-	17445935	17445946
chr1	17531573	17531633	PADI1_1	900	+	17531622	17531633
chr1	17575543	17575603	PADI3_1	900	+	17575592	17575603
chr1	17634642	17634702	PADI4_1	900	+	17634691	17634702
chr1	17765021	17765081	RCC2_1	900	-	17765021	17765032
chr1	17766156	17766216	RCC2_2	900	-	17766156	17766167
chr1	17767960	17768020	RCC2_3	900	-	17767960	17767971
chr1	17839789	17839849	ARHGEF10L_5	900	+	17839838	17839849
chr1	17846777	17846837	ARHGEF10L_3	900	+	17846826	17846837
chr1	17866201	17866261	ARHGEF10L_1	900	+	17866250	17866261
chr1	17869319	17869379	ARHGEF10L_4	900	+	17869368	17869379
chr1	17906899	17906959	ARHGEF10L_2	900	+	17906948	17906959
chr1	18081778	18081838	ACTL8_1	900	+	18081827	18081838
chr1	18434242	18434302	IGSF21_1	900	+	18434291	18434302
chr1	18957290	18957350	PAX7_2	900	+	18957339	18957350
chr1	18957963	18958023	PAX7_1	900	+	18958012	18958023
chr1	19229038	19229098	ALDH4A1_1	900	-	19229038	19229049
chr1	19229245	19229305	ALDH4A1_2	900	-	19229245	19229256
chr1	19536743	19536803	UBR4_1	900	-	19536743	19536754
chr1	19536839	19536899	MRTO4_1	900	+	19536888	19536899
chr1	19577994	19578054	MRTO4_3	900	+	19578043	19578054
chr1	19578007	19578067	EMC1_1	900	-	19578007	19578018
chr1	19578249	19578309	MRTO4_2	900	+	19578298	19578309
chr1	19615251	19615311	AKR7A3_1	900	-	19615251	19615262
chr1	19638586	19638646	AKR7A2_1	900	-	19638586	19638597
chr1	19638770	19638830	PQLC2_1	900	+	19638819	19638830
chr1	19746245	19746305	CAPZB_2	900	-	19746245	19746256
chr1	19810847	19810907	MINOS1_2	900	+	19810896	19810907
chr1	19812016	19812076	CAPZB_1	900	-	19812016	19812027
chr1	19923459	19923519	MINOS1_1	900	+	19923508	19923519
chr1	19970158	19970218	NBL1_3	900	+	19970207	19970218
chr1	19970649	19970709	NBL1_2	900	+	19970698	19970709
chr1	19970757	19970817	NBL1_1	900	+	19970806	19970817
chr1	20126362	20126422	TMCO4_1	900	-	20126362	20126373
chr1	20126747	20126807	TMCO4_2	900	-	20126747	20126758
chr1	20141002	20141062	TMCO4_3	900	-	20141002	20141013
chr1	20208843	20208903	OTUD3_1	900	+	20208892	20208903
chr1	20209049	20209109	OTUD3_2	900	+	20209098	20209109
chr1	20306100	20306160	PLA2G2A_1	900	-	20306100	20306111
chr1	20306916	20306976	PLA2G2A_2	900	-	20306916	20306927
chr1	20396637	20396697	PLA2G5_1	900	+	20396686	20396697
chr1	20446018	20446078	PLA2G2D_2	900	-	20446018	20446029
chr1	20465769	20465829	PLA2G2F_1	900	+	20465818	20465829
chr1	20509774	20509834	UBXN10_2	900	+	20509823	20509834
chr1	20512555	20512615	UBXN10_1	900	+	20512604	20512615
chr1	20513000	20513060	PLA2G2D_1	900	-	20513000	20513011
chr1	20812099	20812159	CAMK2N1_2	900	-	20812099	20812110
chr1	20812686	20812746	CAMK2N1_1	900	-	20812686	20812697
chr1	20834617	20834677	MUL1_1	900	-	20834617	20834628
chr1	20915389	20915449	CDA_2	900	+	20915438	20915449
chr1	20915541	20915601	CDA_1	900	+	20915590	20915601
chr1	20959921	20959981	PINK1_1	900	+	20959970	20959981
chr1	20987851	20987911	DDOST_1	900	-	20987851	20987862
chr1	21011645	21011705	KIF17_1	900	-	21011645	21011656
chr1	21025018	21025078	KIF17_4	900	-	21025018	21025029
chr1	21044275	21044335	KIF17_2	900	-	21044275	21044286
chr1	21044489	21044549	KIF17_3	900	-	21044489	21044500
chr1	21107034	21107094	HP1BP3_2	900	-	21107034	21107045
chr1	21113134	21113194	HP1BP3_1	900	-	21113134	21113145
chr1	21400287	21400347	EIF4G3_2	900	-	21400287	21400298
chr1	21503379	21503439	EIF4G3_1	900	-	21503379	21503390
chr1	21606013	21606073	ECE1_4	900	-	21606013	21606024
chr1	21616697	21616757	ECE1_3	900	-	21616697	21616708
chr1	21616940	21617000	ECE1_2	900	-	21616940	21616951
chr1	21671986	21672046	ECE1_1	900	-	21671986	21671997
chr1	21762872	21762932	NBPF3_2	900	+	21762921	21762932
chr1	21766580	21766640	NBPF3_1	900	+	21766629	21766640
chr1	21835427	21835487	ALPL_2	900	+	21835476	21835487
chr1	21835869	21835929	ALPL_1	900	+	21835918	21835929
chr1	21877713	21877773	ALPL_3	900	+	21877762	21877773
chr1	21949052	21949112	RAP1GAP_3	900	-	21949052	21949063
chr1	21978344	21978404	RAP1GAP_2	900	-	21978344	21978355
chr1	21995802	21995862	RAP1GAP_1	900	-	21995802	21995813
chr1	22109631	22109691	USP48_1	900	-	22109631	22109642
chr1	22110094	22110154	USP48_2	900	-	22110094	22110105
chr1	22147865	22147925	LDLRAD2_1	900	+	22147914	22147925
chr1	22263789	22263849	HSPG2_1	900	-	22263789	22263800
chr1	22303468	22303528	CELA3B_1	900	+	22303517	22303528
chr1	22328103	22328163	CELA3A_1	900	+	22328152	22328163
chr1	22379152	22379212	CDC42_1	900	+	22379201	22379212
chr1	22755317	22755377	ZBTB40_2	900	+	22755366	22755377
chr1	22778294	22778354	ZBTB40_1	900	+	22778343	22778354
chr1	22889932	22889992	EPHA8_1	900	+	22889981	22889992
chr1	22963071	22963131	C1QA_1	900	+	22963120	22963131
chr1	22970076	22970136	C1QC_1	900	+	22970125	22970136
chr1	22979679	22979739	C1QB_1	900	+	22979728	22979739
chr1	23037282	23037342	EPHB2_1	900	+	23037331	23037342
chr1	23037449	23037509	EPHB2_2	900	+	23037498	23037509
chr1	23345911	23345971	KDM1A_1	900	+	23345960	23345971
chr1	23346013	23346073	KDM1A_2	900	+	23346062	23346073
chr1	23495338	23495398	LUZP1_1	900	-	23495338	23495349
chr1	23504604	23504664	LUZP1_2	900	-	23504604	23504615
chr1	23670763	23670823	HNRNPR_1	900	-	23670763	23670774
chr1	23694817	23694877	ZNF436_1	900	-	23694817	23694828
chr1	23696106	23696166	ZNF436_3	900	-	23696106	23696117
chr1	23696440	23696500	ZNF436_2	900	-	23696440	23696451
chr1	23751230	23751290	TCEA3_1	900	-	23751230	23751241
chr1	23810661	23810721	ASAP3_1	900	-	23810661	23810672
chr1	23857695	23857755	E2F2_1	900	-	23857695	23857706
chr1	23885979	23886039	ID3_1	900	-	23885979	23885990
chr1	24018246	24018306	RPL11_1	900	+	24018295	24018306
chr1	24019124	24019184	RPL11_2	900	+	24019173	24019184
chr1	24069595	24069655	ELOA_2	900	+	24069644	24069655
chr1	24069911	24069971	ELOA_1	900	+	24069960	24069971
chr1	24104858	24104918	PITHD1_1	900	+	24104907	24104918
chr1	24117625	24117685	LYPLA2_1	900	+	24117674	24117685
chr1	24126021	24126081	GALE_2	900	-	24126021	24126032
chr1	24127233	24127293	GALE_1	900	-	24127233	24127244
chr1	24151907	24151967	HMGCL_1	900	-	24151907	24151918
chr1	24194769	24194829	FUCA1_1	900	-	24194769	24194780
chr1	24239841	24239901	CNR2_1	900	-	24239841	24239852
chr1	24285637	24285697	PNRC2_2	900	+	24285686	24285697
chr1	24286268	24286328	PNRC2_1	900	+	24286317	24286328
chr1	24306806	24306866	SRSF10_1	900	-	24306806	24306817
chr1	24438614	24438674	MYOM3_1	900	-	24438614	24438625
chr1	24438757	24438817	MYOM3_2	900	-	24438757	24438768
chr1	24469598	24469658	IL22RA1_1	900	-	24469598	24469609
chr1	24513736	24513796	IFNLR1_1	900	-	24513736	24513747
chr1	24645797	24645857	GRHL3_1	900	+	24645846	24645857
chr1	24645960	24646020	GRHL3_2	900	+	24646009	24646020
chr1	24740075	24740135	NIPAL3_2	900	+	24740124	24740135
chr1	24741822	24741882	NIPAL3_3	900	+	24741871	24741882
chr1	24742242	24742302	NIPAL3_1	900	+	24742291	24742302
chr1	24743413	24743473	STPG1_2	900	-	24743413	24743424
chr1	24745526	24745586	STPG1_1	900	-	24745526	24745537
chr1	24745859	24745919	STPG1_3	900	-	24745859	24745870
chr1	24828784	24828844	RCAN3_1	900	+	24828833	24828844
chr1	24828962	24829022	RCAN3_4	900	+	24829011	24829022
chr1	24829276	24829336	RCAN3_2	900	+	24829325	24829336
chr1	24840809	24840869	RCAN3_3	900	+	24840858	24840869
chr1	24882562	24882622	NCMAP_1	900	+	24882611	24882622
chr1	24915957	24916017	NCMAP_2	900	+	24916006	24916017
chr1	24969743	24969803	SRRM1_1	900	+	24969792	24969803
chr1	25071888	25071948	CLIC4_1	900	+	25071937	25071948
