chr	start	end	TSAR
chr1	43906860	43907062	TSAR.2438
chr1	43915771	43915850	TSAR.1428
chr1	44436264	44436385	TSAR.3961
chr1	44457860	44457914	TSAR.1920
chr1	44693875	44694616	TSAR.0925
chr1	44694861	44695384	TSAR.3074
chr1	44706805	44707086	TSAR.2083
chr1	44715445	44716103	TSAR.0173
chr1	44726691	44727133	TSAR.3697
chr1	44756319	44756970	TSAR.2062
chr1	44870739	44870836	TSAR.2570
chr1	44877649	44878463	TSAR.1033
chr1	44878887	44879753	TSAR.1041
chr1	45103361	45103894	TSAR.1818
chr1	45110856	45110972	TSAR.4691
chr1	45111024	45111168	TSAR.2064
chr1	45293509	45293872	TSAR.2201
chr1	45809539	45810331	TSAR.1367
chr1	46125821	46126432	TSAR.1921
chr1	46744850	46744933	TSAR.1791
chr1	48002226	48002699	TSAR.2412
chr1	48044103	48044884	TSAR.4176
chr1	48109570	48109993	TSAR.1560
chr1	48150582	48150910	TSAR.2376
chr1	48296323	48296767	TSAR.2302
chr1	50574243	50575674	TSAR.1651
chr1	50743990	50744628	TSAR.0235
chr1	51162380	51162901	TSAR.4216
chr1	51826679	51827093	TSAR.4106
chr1	53322612	53322907	TSAR.0980
chr1	53322940	53323428	TSAR.0394
chr1	53977931	53978273	TSAR.2876
chr1	53987732	53988114	TSAR.4052
chr1	54195015	54195733	TSAR.3449
chr1	57169628	57170157	TSAR.4088
chr1	63440021	63440221	TSAR.1842
chr1	73390327	73390547	TSAR.4220
chr1	74929112	74929604	TSAR.0584
chr1	75685452	75685605	TSAR.3991
chr1	76257833	76257994	TSAR.4068
chr1	77509878	77510301	TSAR.4202
chr1	79224166	79224594	TSAR.3181
chr1	79357204	79357379	TSAR.4181
chr1	79719131	79719434	TSAR.1493
chr1	80964445	80964772	TSAR.3615
chr1	81122427	81123254	TSAR.4513
chr1	82071319	82071905	TSAR.1956
chr1	82137686	82138269	TSAR.2538
chr1	82470593	82470993	TSAR.3517
chr1	83166078	83166658	TSAR.2452
chr1	83579740	83580835	TSAR.0676
chr1	84385328	84385539	TSAR.1296
chr1	84700850	84701199	TSAR.2925
chr1	84815852	84816534	TSAR.2680
chr1	85112379	85113067	TSAR.3464
chr1	85655730	85656169	TSAR.2111
chr1	85717852	85718235	TSAR.1219
chr1	86905799	86905891	TSAR.1107
chr1	86913178	86913473	TSAR.0392
chr1	86920751	86921196	TSAR.0538
chr1	86952180	86952438	TSAR.3592
chr1	86964248	86964423	TSAR.4500
chr1	86965330	86965602	TSAR.3939
chr1	87025881	87026044	TSAR.3296
chr1	87473960	87474295	TSAR.2824
chr1	87821608	87822855	TSAR.3430
chr1	88111040	88111494	TSAR.4191
chr1	88151792	88152806	TSAR.3090
chr1	88364211	88364717	TSAR.3921
chr1	88738087	88739083	TSAR.1306
chr1	88781114	88781301	TSAR.2464
chr1	88786659	88786709	TSAR.3042
chr1	88801843	88802807	TSAR.0397
chr1	88926681	88927291	TSAR.0247
chr1	89070536	89071409	TSAR.0468
chr1	89298907	89300746	TSAR.4752
chr1	89430491	89430667	TSAR.3990
chr1	90178089	90180674	TSAR.2581
chr1	90553699	90554276	TSAR.0800
chr1	90599605	90600996	TSAR.1383
chr1	90738500	90739113	TSAR.0407
chr1	90874303	90875063	TSAR.1083
chr1	90966685	90967566	TSAR.0181
chr1	91000287	91000900	TSAR.3132
chr1	91126045	91126716	TSAR.3227
chr1	91293882	91294986	TSAR.4708
chr1	92145877	92146495	TSAR.2917
chr1	92945901	92946092	TSAR.1131
chr1	93297530	93297681	TSAR.4269
chr1	93812124	93812427	TSAR.1441
chr1	94360167	94360308	TSAR.3029
chr1	94640045	94640180	TSAR.2545
chr1	94696926	94697205	TSAR.3775
chr1	95873352	95874735	TSAR.2297
chr1	96012394	96013320	TSAR.1907
chr1	96276372	96277025	TSAR.1650
chr1	96561455	96563106	TSAR.3683
chr1	96875371	96875610	TSAR.4694
chr1	97911945	97912541	TSAR.2904
chr1	97912736	97913258	TSAR.0353
chr1	98265024	98265315	TSAR.4036
chr1	98412048	98412600	TSAR.1056
chr1	98764723	98765735	TSAR.2348
chr1	99225588	99225761	TSAR.3471
chr1	99355804	99356281	TSAR.0812
chr1	110021961	110022354	TSAR.3345
chr1	110049690	110051624	TSAR.1309
chr1	111136201	111136901	TSAR.3917
chr1	111214085	111217700	TSAR.0887
chr1	113079111	113079532	TSAR.1511
chr1	113933628	113933983	TSAR.4317
chr1	114306581	114309094	TSAR.0914
chr1	114506247	114506840	TSAR.1548
chr1	114516950	114517306	TSAR.4645
chr1	114517352	114519073	TSAR.1007
chr1	114522880	114523249	TSAR.0698
chr1	118165424	118166980	TSAR.0053
chr1	120306788	120307253	TSAR.2724
chr1	150040673	150040840	TSAR.0968
chr1	150049078	150049311	TSAR.2177
chr1	150054750	150054975	TSAR.1866
chr1	150065507	150065756	TSAR.1822
chr1	150201328	150201623	TSAR.1047
chr1	150204105	150204365	TSAR.1133
chr1	150307397	150307719	TSAR.2575
chr1	150315752	150315930	TSAR.4509
chr1	150318384	150318626	TSAR.2013
chr1	150325298	150325524	TSAR.1532
chr1	150678927	150679306	TSAR.1737
chr1	150680660	150680897	TSAR.2525
chr1	150784370	150784603	TSAR.0843
chr1	150808750	150808999	TSAR.2179
chr1	150811907	150812332	TSAR.0266
chr1	150922923	150923580	TSAR.0110
chr1	150933014	150933675	TSAR.0074
chr1	150935444	150935632	TSAR.1672
chr1	150936000	150936222	TSAR.1757
chr1	150997077	150997277	TSAR.1840
chr1	151039680	151040033	TSAR.3706
chr1	151131162	151131729	TSAR.2275
chr1	151134202	151134606	TSAR.0362
chr1	151139797	151139910	TSAR.4086
chr1	151143377	151143649	TSAR.0536
chr1	151143901	151144018	TSAR.2472
chr1	151237847	151238104	TSAR.0813
chr1	151271273	151271562	TSAR.0672
chr1	151280037	151280280	TSAR.1125
chr1	151316150	151316360	TSAR.0619
chr1	151372454	151372670	TSAR.3890
chr1	151372914	151373143	TSAR.4793
chr1	151377022	151378796	TSAR.1026
chr1	151630663	151630907	TSAR.0200
chr1	151665370	151665522	TSAR.3153
chr1	151748270	151748374	TSAR.0497
chr1	151751568	151751723	TSAR.4474
chr1	153991404	153991572	TSAR.0668
chr1	153994591	153994826	TSAR.1608
chr1	153997983	153998197	TSAR.0427
chr1	154002344	154002564	TSAR.1079
chr1	154042743	154042943	TSAR.0836
chr1	154067401	154067747	TSAR.4416
chr1	154143832	154144433	TSAR.3535
chr1	154148582	154148726	TSAR.3885
chr1	154227620	154227821	TSAR.0916
chr1	154241225	154241436	TSAR.0531
chr1	154950445	154950617	TSAR.3630
chr1	154960575	154961330	TSAR.0076
chr1	155255425	155255786	TSAR.0054
chr1	155340544	155340793	TSAR.1018
chr1	155490884	155491452	TSAR.0150
chr1	155874096	155874304	TSAR.0440
chr1	155891157	155891584	TSAR.0133
chr1	156521421	156521662	TSAR.1247
chr1	156532917	156533141	TSAR.4357
chr1	156533340	156533467	TSAR.2530
chr1	156533533	156533627	TSAR.4145
chr1	156536177	156536340	TSAR.1010
chr1	156703770	156704298	TSAR.3371
chr1	156756350	156756973	TSAR.2687
chr1	156770163	156770539	TSAR.1568
chr1	156823535	156824106	TSAR.3678
chr1	156844693	156844806	TSAR.3948
chr1	156918105	156918293	TSAR.3906
chr1	160100208	160100396	TSAR.2061
chr1	160182868	160183058	TSAR.2060
chr1	160208387	160208541	TSAR.2992
chr1	160209445	160209872	TSAR.1078
chr1	160281618	160281812	TSAR.4087
chr1	160304974	160305121	TSAR.2469
chr1	162343889	162344418	TSAR.1526
chr1	162469732	162470042	TSAR.0069
chr1	162535851	162536147	TSAR.2197
chr1	162546510	162546836	TSAR.0218
chr1	162549208	162549401	TSAR.1108
chr1	162601992	162602433	TSAR.0364
chr1	162724407	162724655	TSAR.3819
chr1	162740088	162740311	TSAR.4358
chr1	162745919	162746167	TSAR.4627
chr1	162748367	162748549	TSAR.4451
chr1	163869153	163869874	TSAR.3560
chr1	164528879	164529460	TSAR.0765
chr1	164531732	164532201	TSAR.0546
chr1	164532224	164532592	TSAR.3393
chr1	165175094	165175303	TSAR.4099
chr1	165182874	165183065	TSAR.4656
chr1	165638492	165638699	TSAR.2350
chr1	165712397	165712654	TSAR.3024
chr1	166895171	166895446	TSAR.1990
chr1	167385373	167386264	TSAR.0256
chr1	168169124	168169577	TSAR.3588
chr1	168250331	168250542	TSAR.4382
chr1	169483546	169483727	TSAR.4568
chr1	169487647	169487830	TSAR.2030
chr1	169529787	169530009	TSAR.3139
chr1	169586262	169586558	TSAR.2669
chr1	170114773	170115418	TSAR.2543
chr1	170253521	170254312	TSAR.4775
chr1	170278855	170279109	TSAR.2381
chr1	171061774	171061941	TSAR.2960
chr1	171072918	171073119	TSAR.0100
chr1	171076796	171076983	TSAR.0940
chr1	171077205	171077365	TSAR.0539
chr1	171083129	171083508	TSAR.0196
chr1	171086233	171086510	TSAR.0646
chr1	171130173	171130517	TSAR.4060
chr1	171605059	171605859	TSAR.2815
chr1	171678788	171679016	TSAR.1515
chr1	172557828	172559089	TSAR.3918
chr1	173854763	173856021	TSAR.0606
chr1	173872929	173873206	TSAR.4539
chr1	175304561	175304951	TSAR.1766
chr1	175602622	175602826	TSAR.1969
chr1	176833419	176833663	TSAR.3702
chr1	176918312	176918717	TSAR.3382
chr1	177250711	177250816	TSAR.4776
chr1	177910869	177911217	TSAR.0594
chr1	178389605	178389761	TSAR.2516
chr1	178411790	178412385	TSAR.1206
chr1	178442176	178443402	TSAR.2641
chr1	178862777	178863183	TSAR.4471
chr1	179086457	179086667	TSAR.4518
chr1	179562592	179563008	TSAR.2264
chr1	180041472	180041762	TSAR.3342
chr1	180081556	180082461	TSAR.1204
chr1	180082802	180084021	TSAR.0691
chr1	180366643	180366754	TSAR.3503
chr1	180461365	180461524	TSAR.3970
chr1	181684580	181684786	TSAR.4689
chr1	181700224	181700500	TSAR.3421
chr1	181762705	181763016	TSAR.2408
chr1	183090845	183091091	TSAR.2483
chr1	183195826	183196076	TSAR.0841
chr1	183387199	183387608	TSAR.0956
chr1	183518817	183519061	TSAR.2615
chr1	183543616	183543807	TSAR.3524
chr1	183617138	183617993	TSAR.2679
chr1	183853688	183854085	TSAR.1593
chr1	184589836	184590122	TSAR.3513
chr1	185902653	185902959	TSAR.1655
chr1	186113629	186113904	TSAR.3138
chr1	186302230	186302538	TSAR.4780
chr1	186413075	186413662	TSAR.0596
chr1	187305533	187305938	TSAR.3783
chr1	188501532	188501979	TSAR.3207
chr1	193149047	193150719	TSAR.0371
chr1	193220669	193220937	TSAR.0881
chr1	193579357	193579597	TSAR.4533
chr1	194049497	194049617	TSAR.4747
chr1	197382960	197383136	TSAR.3160
chr1	197633603	197634095	TSAR.2966
chr1	200090603	200091342	TSAR.0957
chr1	201023501	201023693	TSAR.3081
chr1	202702523	202703017	TSAR.2341
chr1	202986475	202987540	TSAR.1237
chr1	202991962	202992718	TSAR.0907
chr1	203018788	203019024	TSAR.2479
chr1	203708356	203708825	TSAR.2007
chr1	204128509	204128749	TSAR.4359
chr1	204378611	204379313	TSAR.4748
chr1	204653383	204653553	TSAR.1381
chr1	204971638	204972018	TSAR.0995
chr1	205038939	205039197	TSAR.3453
chr1	205072978	205073191	TSAR.0416
chr1	205083911	205084094	TSAR.2230
chr1	205138259	205139051	TSAR.0469
chr1	205779192	205779836	TSAR.2784
chr1	205900982	205901202	TSAR.4159
chr1	206603505	206603692	TSAR.3886
chr1	207996675	207997367	TSAR.1386
chr1	208315162	208315521	TSAR.3500
chr1	208636144	208636678	TSAR.3289
chr1	209323491	209323546	TSAR.2809
chr1	209948934	209949089	TSAR.3792
chr1	209956169	209956968	TSAR.0893
chr1	209961594	209962012	TSAR.1808
chr1	210435492	210435647	TSAR.3977
chr1	210435716	210435808	TSAR.2120
chr1	210465046	210465658	TSAR.1183
chr1	210472912	210473185	TSAR.2642
chr1	211092974	211093418	TSAR.0838
chr1	211477224	211477725	TSAR.3668
chr1	211486684	211488546	TSAR.0225
chr1	211654457	211654763	TSAR.1769
chr1	211836765	211837029	TSAR.4525
chr1	212208681	212209131	TSAR.1398
chr1	212415848	212416164	TSAR.3364
chr1	212793068	212793271	TSAR.4624
chr1	212873010	212873118	TSAR.1873
chr1	213162281	213162733	TSAR.4442
chr1	213455091	213455389	TSAR.3768
chr1	213555234	213556013	TSAR.0959
chr1	213563179	213564078	TSAR.2878
chr1	213591828	213592424	TSAR.0565
chr1	213692695	213693113	TSAR.3105
chr1	213746829	213747143	TSAR.0846
chr1	213759384	213759983	TSAR.1271
chr1	213768599	213768907	TSAR.3032
chr1	213850140	213850516	TSAR.3030
chr1	213918095	213918564	TSAR.4376
chr1	213934218	213934663	TSAR.1255
chr1	213937175	213937576	TSAR.3593
chr1	213969231	213970225	TSAR.0291
chr1	214003034	214003778	TSAR.2124
chr1	214141640	214142135	TSAR.1318
chr1	214204619	214205050	TSAR.4718
chr1	214309635	214309849	TSAR.3394
chr1	215844306	215844653	TSAR.3384
chr1	215848463	215848961	TSAR.4422
chr1	215932983	215933229	TSAR.4476
chr1	216228454	216228745	TSAR.1471
chr1	216593499	216593890	TSAR.2970
chr1	216874198	216874488	TSAR.2019
chr1	216899585	216899754	TSAR.1947
chr1	216900935	216901155	TSAR.2035
chr1	216917955	216918397	TSAR.4639
chr1	216958040	216958658	TSAR.2473
chr1	216984534	216985496	TSAR.0383
chr1	217314234	217314591	TSAR.0548
chr1	217399477	217399523	TSAR.3604
chr1	217475682	217476062	TSAR.3243
chr1	217580624	217581350	TSAR.3128
chr1	217793116	217793876	TSAR.4541
chr1	217856570	217856710	TSAR.0309
chr1	218158624	218159182	TSAR.3065
chr1	218553817	218554050	TSAR.3374
chr1	218653613	218653760	TSAR.1998
chr1	218833506	218834054	TSAR.0939
chr1	218867822	218868403	TSAR.1941
chr1	218959329	218959931	TSAR.3582
chr1	219408973	219409143	TSAR.1042
chr1	220324187	220324555	TSAR.2444
chr1	221185453	221185988	TSAR.4769
chr1	221339095	221339542	TSAR.2329
chr1	221861177	221861706	TSAR.0612
chr1	224346271	224347410	TSAR.1405
chr1	226333963	226334525	TSAR.2151
chr1	228225292	228225760	TSAR.0899
chr1	228456225	228456512	TSAR.2554
chr1	228473774	228474057	TSAR.2999
chr1	228501294	228501596	TSAR.2065
chr1	228509146	228509869	TSAR.4182
chr1	229596352	229596580	TSAR.2073
chr1	229623210	229623421	TSAR.4527
chr1	229729948	229730850	TSAR.3502
chr1	231471313	231473139	TSAR.0070
chr1	231700197	231700650	TSAR.0471
chr1	232942340	232942639	TSAR.0679
chr1	232943415	232943918	TSAR.3636
chr1	234444792	234445180	TSAR.3380
chr1	234688119	234688760	TSAR.4408
chr1	234742385	234743600	TSAR.0107
chr1	235505322	235506106	TSAR.1426
chr1	235840775	235841023	TSAR.3177
chr1	235883954	235884226	TSAR.3646
chr1	235916339	235916593	TSAR.2204
chr1	235922254	235922527	TSAR.4072
chr1	235969036	235970078	TSAR.0705
chr1	235971742	235973877	TSAR.0027
chr1	236371310	236371894	TSAR.3587
chr1	236723011	236723150	TSAR.2750
chr1	236729940	236730204	TSAR.0952
chr1	236737953	236738208	TSAR.3161
chr1	236744518	236744717	TSAR.1136
chr1	236746031	236746174	TSAR.4633
chr1	236751241	236751346	TSAR.4096
chr1	236759125	236759384	TSAR.1851
chr1	237664005	237664266	TSAR.0857
chr1	240964699	240964812	TSAR.2533
chr1	241661123	241661282	TSAR.1959
chr1	241663731	241663892	TSAR.1156
chr1	241665719	241665891	TSAR.0285
chr1	241667373	241667547	TSAR.0183
chr1	241669300	241669477	TSAR.2828
chr1	241671899	241672130	TSAR.2218
chr1	241675260	241675448	TSAR.0574
chr1	241753289	241753420	TSAR.3247
chr1	241946559	241946686	TSAR.3185
chr1	242024682	242024808	TSAR.3820
chr1	242030125	242030367	TSAR.2321
chr1	243542999	243543371	TSAR.4411
chr1	243559682	243560956	TSAR.4613
chr1	243858850	243859452	TSAR.1668
chr1	244222498	244222555	TSAR.4266
chr1	244228217	244228958	TSAR.1054
chr1	244229106	244229448	TSAR.2934
chr1	244269277	244269985	TSAR.0501
chr1	245026429	245026575	TSAR.1871
chr1	245026837	245027327	TSAR.0005
chr1	245250544	245250777	TSAR.3595
chr10	11047267	11047504	TSAR.3972
chr10	14881892	14882012	TSAR.1686
chr10	14882071	14882170	TSAR.4264
chr10	16553554	16553790	TSAR.1855
chr10	21070825	21071360	TSAR.4129
chr10	21102827	21102986	TSAR.4669
chr10	21180091	21180591	TSAR.2539
chr10	21784726	21785146	TSAR.4774
chr10	21798061	21798516	TSAR.4497
chr10	21806285	21807788	TSAR.0877
chr10	21807801	21809572	TSAR.1966
chr10	21812691	21812816	TSAR.1090
chr10	22615305	22615498	TSAR.0486
chr10	23409676	23409791	TSAR.4388
chr10	23729233	23730399	TSAR.1178
chr10	24330909	24331433	TSAR.1632
chr10	24762149	24762994	TSAR.0452
chr10	25145650	25145707	TSAR.4569
chr10	26669012	26669485	TSAR.1786
chr10	27035259	27036482	TSAR.1228
chr10	27907797	27908179	TSAR.3973
chr10	28229487	28229680	TSAR.3231
chr10	29186638	29187000	TSAR.0339
chr10	29224286	29224584	TSAR.2088
chr10	30315224	30315458	TSAR.4333
chr10	33672547	33672744	TSAR.1290
chr10	33679585	33679877	TSAR.2826
chr10	33997252	33997964	TSAR.4772
chr10	34266327	34266945	TSAR.3757
chr10	34398464	34398894	TSAR.4116
chr10	34470852	34471120	TSAR.1325
chr10	34526657	34527324	TSAR.3267
chr10	35858758	35858939	TSAR.3803
chr10	35974405	35974921	TSAR.2849
chr10	36880746	36881180	TSAR.2277
chr10	63803308	63803666	TSAR.4399
chr10	69954110	69954406	TSAR.2326
chr10	70191613	70191774	TSAR.4570
chr10	70450546	70450978	TSAR.0641
chr10	70670757	70671056	TSAR.4732
chr10	70696659	70696858	TSAR.4489
chr10	70700795	70700990	TSAR.2713
chr10	70931145	70931462	TSAR.2290
chr10	70962615	70962822	TSAR.1414
chr10	71175682	71176049	TSAR.2149
chr10	71319336	71319947	TSAR.3279
chr10	71336508	71338288	TSAR.3791
chr10	71562160	71562530	TSAR.1973
chr10	72285672	72285899	TSAR.3092
chr10	72289611	72289826	TSAR.1374
chr10	72630791	72630906	TSAR.3737
chr10	73326158	73326700	TSAR.4011
chr10	73552925	73553411	TSAR.3317
chr10	73567594	73567776	TSAR.3829
chr10	74127949	74128134	TSAR.3031
chr10	74620046	74620378	TSAR.0721
chr10	74673062	74673244	TSAR.4797
chr10	75196410	75198408	TSAR.0189
chr10	75199496	75200049	TSAR.1601
chr10	75260393	75260699	TSAR.0989
chr10	75276124	75277698	TSAR.0040
chr10	75289421	75289713	TSAR.0382
chr10	75294346	75294809	TSAR.4540
chr10	75528754	75528913	TSAR.2232
chr10	75530709	75531236	TSAR.0151
chr10	75559765	75560235	TSAR.1770
chr10	75560385	75560984	TSAR.3777
chr10	75562208	75562350	TSAR.3736
chr10	75571188	75571412	TSAR.4697
chr10	75579225	75579411	TSAR.3344
chr10	76344949	76346187	TSAR.0862
chr10	76405408	76406330	TSAR.3328
chr10	76585690	76585794	TSAR.0001
chr10	76741462	76742295	TSAR.0895
chr10	76998703	76999134	TSAR.0751
chr10	77043952	77044062	TSAR.3246
chr10	77118796	77119089	TSAR.4635
chr10	77122122	77122600	TSAR.0223
chr10	77126989	77127561	TSAR.1352
chr10	77138948	77139566	TSAR.0243
chr10	77237913	77238253	TSAR.3723
chr10	77248042	77248332	TSAR.1519
chr10	77251913	77252136	TSAR.4552
chr10	77301182	77302291	TSAR.3836
chr10	77361858	77363067	TSAR.3219
chr10	77698120	77698911	TSAR.1585
chr10	77723559	77724068	TSAR.2509
chr10	77726913	77727614	TSAR.2433
chr10	77732250	77732589	TSAR.1359
chr10	77767093	77767296	TSAR.4117
chr10	77812627	77813361	TSAR.2746
chr10	77873664	77874193	TSAR.1288
chr10	77947495	77948040	TSAR.1258
chr10	77969639	77970148	TSAR.3373
chr10	77977799	77978354	TSAR.1312
chr10	78028234	78029178	TSAR.2950
chr10	78061051	78061387	TSAR.2138
chr10	78091425	78092181	TSAR.0433
chr10	78190073	78190326	TSAR.2629
chr10	78197982	78198677	TSAR.3765
chr10	78283035	78283256	TSAR.2209
chr10	78303781	78304182	TSAR.2871
chr10	78340457	78341173	TSAR.0381
chr10	78526455	78526845	TSAR.4200
chr10	78644075	78644505	TSAR.2853
chr10	78708666	78709127	TSAR.1896
chr10	78761084	78762201	TSAR.0297
chr10	78783474	78783692	TSAR.0835
chr10	78850314	78851006	TSAR.3119
chr10	78945278	78945599	TSAR.1311
chr10	79580836	79581861	TSAR.0993
chr10	79613978	79614165	TSAR.2004
chr10	79745827	79745923	TSAR.3445
chr10	79846858	79847294	TSAR.0564
chr10	79936486	79936965	TSAR.2610
chr10	79978601	79978959	TSAR.3701
chr10	80811956	80812186	TSAR.3794
chr10	80830616	80830855	TSAR.0545
chr10	81002886	81003003	TSAR.4706
chr10	81003127	81003290	TSAR.2673
chr10	81075294	81076353	TSAR.1734
chr10	81142059	81142315	TSAR.1034
chr10	87361949	87362484	TSAR.2495
chr10	87425122	87425685	TSAR.1875
chr10	91353541	91353983	TSAR.0979
chr10	92616724	92617455	TSAR.1214
chr10	93572715	93572991	TSAR.3133
chr10	93608135	93608398	TSAR.1550
chr10	93743946	93744261	TSAR.2775
chr10	93784509	93784731	TSAR.4090
chr10	93786856	93787077	TSAR.1244
chr10	94109085	94109292	TSAR.3333
chr10	94109421	94109609	TSAR.2075
chr10	94110811	94111649	TSAR.0176
chr10	94213863	94214323	TSAR.1456
chr10	94267241	94267585	TSAR.1038
chr10	94392229	94392455	TSAR.1695
chr10	94834876	94835069	TSAR.3994
chr10	96540250	96540358	TSAR.0695
chr10	97023612	97023851	TSAR.3895
chr10	97074522	97074894	TSAR.2128
chr10	97110616	97111223	TSAR.4603
chr10	97174989	97175690	TSAR.0743
chr10	98210646	98211203	TSAR.4499
chr10	98718691	98720115	TSAR.0583
chr10	98740474	98741949	TSAR.1404
chr10	98743310	98745529	TSAR.3585
chr10	99211416	99211711	TSAR.0932
chr10	99329891	99330982	TSAR.0470
chr10	101421178	101421406	TSAR.0947
chr10	101601704	101601871	TSAR.1623
chr10	101636783	101637122	TSAR.3967
chr10	101668704	101668949	TSAR.4306
chr10	102021706	102021872	TSAR.3023
chr10	102052691	102052831	TSAR.3033
chr10	102053035	102053138	TSAR.4576
chr10	102057130	102057376	TSAR.3852
chr10	102058309	102058588	TSAR.1276
chr10	102245102	102246202	TSAR.2361
chr10	102257410	102257583	TSAR.1240
chr10	102372269	102372487	TSAR.4532
chr10	102372537	102373007	TSAR.0268
chr10	102373615	102374178	TSAR.0886
chr10	102377773	102378167	TSAR.0253
chr10	102381367	102381529	TSAR.2039
chr10	102384964	102385312	TSAR.2220
chr10	102387865	102388288	TSAR.1072
chr10	102391430	102391704	TSAR.0500
chr10	102413705	102413900	TSAR.1372
chr10	102415077	102415625	TSAR.0303
chr10	102416254	102416404	TSAR.4205
chr10	102419161	102419658	TSAR.0052
chr10	102421187	102421580	TSAR.0306
chr10	102441166	102441379	TSAR.0859
chr10	102445016	102445333	TSAR.2300
chr10	102466669	102467195	TSAR.0098
chr10	102467896	102468082	TSAR.1048
chr10	102469039	102469407	TSAR.0077
chr10	102469861	102470079	TSAR.0229
chr10	102492775	102493141	TSAR.2243
chr10	102511682	102512098	TSAR.0727
chr10	102521168	102521598	TSAR.1149
chr10	102540904	102541425	TSAR.2748
chr10	102544327	102544563	TSAR.2986
chr10	102574809	102575126	TSAR.2514
chr10	102576436	102576607	TSAR.0284
chr10	102576614	102576843	TSAR.1303
chr10	102584336	102584594	TSAR.4177
chr10	102585654	102586144	TSAR.3857
chr10	102587202	102587587	TSAR.0122
chr10	102588537	102588663	TSAR.0265
chr10	102588699	102588955	TSAR.2476
chr10	102613939	102614382	TSAR.0061
chr10	102626361	102626830	TSAR.0101
chr10	102633493	102633989	TSAR.0369
chr10	102636878	102637327	TSAR.0222
chr10	102739601	102739754	TSAR.4455
chr10	102739853	102740110	TSAR.0197
chr10	102743058	102743927	TSAR.0551
chr10	102748259	102749216	TSAR.0099
chr10	102752941	102753300	TSAR.3969
chr10	102766239	102766929	TSAR.4638
chr10	102778566	102778977	TSAR.2481
