gene_name	chr	start	end
TBC1D24	chr16	2525146	2555734
THEGL	chr4	57396774	57469489
THPO	chr3	184089772	184095932
TJP2	chr9	71820077	71870124
TMEM30B	chr14	61744088	61748530
TMIE	chr3	46742822	46752413
TMPRSS4	chr11	117947726	117990556
TOMM20L	chr14	58862643	58875419
TSPYL2	chrX	53111541	53117728
UBE2W	chr8	74698454	74791145
VPS37D	chr7	73082173	73086440
VPS4A	chr16	69345286	69358946
YPEL3	chr16	30103634	30107537
ZNF142	chr2	219502639	219524355
ZSCAN2	chr15	85144248	85166947
